Table,Names,Min,Max,Avg
nhl.03.ls,SOS,-0.42,0.49,0.00
nhl.03.ls,SRS,-3.09,2.54,0.00
nhl.02.gs,SV,0,2376,669.26
nhl.02.gs,SV_Pct,0,1,0.89
nhl.03.ls,T,0,24,10.15
nhl.01.ss,Team,ANA,WSH,NA
nhl.02.gs,Team,ANA,WSH,NA
nhl.03.ls,Team,Anaheim Ducks,Winnipeg Jets*,NA
nhl.01.ss,Team_Bkdwn_Flag,0,1,0.15
nhl.02.gs,Team_Bkdwn_Flag,0,1,0.10
nhl.01.ss,TK,0,144,18.07
nhl.01.ss,TOI,1,2449,734.11
nhl.01.ss,TOI_per60,,0.42,NA
nhl.02.gs,TOSL,0,22,3.36
nhl.02.gs,W,0,48,11.22
nhl.03.ls,W,1,62,32.83
nhl.01.ss,xGA,0,80.40,24.55
nhl.01.ss,xGF,0,84.70,24.64
nhl.01.ss,xPlusMinus,-27.10,27.70,0.10
